,Codigo_Postal,Distancia_minima_trayectoria,Fecha_Hora,Horario,Latitud,Localidad,Longitud,Margen,Municipio,Precio_biodiesel,Precio_bioetanol,Precio_gas_natural,Precio_gasoleoA,Precio_gasoleoB,Precio_gasolina95,Precio_gasolina98,Provincia,Tipo_de_venta
0,27730,131.02181455373912,1598870294000,L-D: 24H,43.370306,ABADIN,-7.450417,I,Abadín,,,,1.119,0.799,1.209,,LUGO,P
1,27738,132.28868448510283,1598870294000,L-D: 06:30-23:00,43.379889,XESTA (A),-7.426694,D,Abadín,,,,1.119,,1.229,,LUGO,P
2,27776,148.8850599517743,1598870294000,L-D: 07:00-23:00,43.529222,ALFOZ,-7.414583,I,Alfoz,,,,1.129,0.749,1.229,,LUGO,P
3,27570,69.15861566469553,1598870294000,L-D: 07:00-23:00,42.781972,ANTAS DE ULLA,-7.898806,I,Antas de Ulla,,,,1.089,0.833,1.219,,LUGO,P
4,27130,94.55597827303397,1598870294000,L-D: 08:00-22:00,43.001139,CADAVO (O),-7.234194,I,Baleira,,,,1.119,0.779,1.209,,LUGO,P
5,27680,83.44870181761404,1598870294000,L-S: 09:00-21:00; D: 09:00-14:30,42.919444,BARALLA,-7.333583,D,Baralla,,,,1.115,0.77,1.209,,LUGO,P
6,27696,82.716074813047,1598870294000,L-D: 07:00-23:00,42.893083,BARALLA,-7.254306,D,Baralla,,,,1.119,0.769,1.209,,LUGO,P
7,27790,152.23409003262466,1598870294000,L-D: 07:00-23:00,43.539972,BARREIROS (CASCO URBANO),-7.241778,D,Barreiros,,,,1.099,0.752,1.199,,LUGO,P
8,27790,151.88427474577225,1598870294000,L-D: 24H,43.539444,BARREIROS (CASCO URBANO),-7.26025,D,Barreiros,,,,1.039,,1.055,,LUGO,P
9,27640,81.85631958935458,1598870294000,L-D: 06:00-23:00,42.851111,BECERREA,-7.153056,N,Becerreá,,,,1.115,0.895,1.215,,LUGO,P
10,27373,112.90281281979543,1598870294000,L-V: 08:30-19:00; S-D: 10:00-14:00,43.212667,BEGONTE,-7.655694,D,Begonte,,,,1.039,,1.139,,LUGO,P
